geolocation_state,geolocation_state_full_name,geolocation_region
RO,Rondônia,North
AC,Acre,North
AM,Amazonas,North
RR,Roraima,North
PA,Pará,North
AP,Amapá,North
TO,Tocantins,North
MA,Maranhão,North East
PI,Piauí,North East
CE,Ceará,North East
RN,Rio Grande do Norte,North East
PB,Paraíba,North East
PE,Pernambuco,North East
AL,Alagoas,North East
SE,Sergipe,North East
BA,Bahia,North East
MG,Minas Gerais,Southeast
ES,Espírito Santo,Southeast
RJ,Rio de Janeiro,Southeast
SP,São Paulo,Southeast
PR,Paraná,South
SC,Santa Catarina,South
RS,Rio Grande do Sul,South
MS,Mato Grosso do Sul,Midwest
MT,Mato Grosso,Midwest
GO,Goiás,Midwest
DF,Distrito Federal,Midwest
